title,publisher,year
"{'de': 'GD NEAR – Heranführungshilfe für Albanien', 'fi': 'Naapuruuspolitiikan ja laajentumisneuvottelujen pääosasto – Liittymistä valmisteleva tuki Albanialle', 'pt': 'DG NEAR — Assistência de pré-adesão à Albânia', 'bg': 'ГД „Политика за съседство и преговори за разширяване“ — Предприсъединителна помощ за Албания', 'lt': 'DG NEAR – Pasirengimo narystei pagalba Albanijai', 'lv': 'NEAR ĢD — Pirmspievienošanās palīdzība Albānijai', 'hr': 'Glavna uprava za susjedsku politiku i pregovore o proširenju – Pretpristupna pomoć Albaniji', 'fr': 'DG NEAR — Aide de préadhésion à l’Albanie', 'hu': 'DG NEAR – Előcsatlakozási támogatás Albániának', 'sk': 'GR NEAR – Predvstupová pomoc Albánsku', 'sl': 'GD NEAR – Predpristopna pomoč Albaniji', 'ga': 'DG NEAR — Cúnamh réamhaontachais don Albáin', 'sv': 'GD Grannskapspolitik och utvidgningsförhandlingar – Stöd inför anslutningen till Albanien', 'mt': 'DĠ NEAR — Assistenza ta’ qabel l-adeżjoni lill-Albanija', 'el': 'ΓΔ NEAR — Προενταξιακή βοήθεια στην Αλβανία', 'en': 'DG NEAR - Pre-accession assistance to Albania', 'it': ""DG NEAR — Assistenza preadesione all'Albania"", 'es': 'DG NEAR — Ayuda de preadhesión a Albania', 'et': 'Naabruspoliitika ja laienemisläbirääkimiste peadirektoraat – Ühinemiseelne abi Albaaniale', 'cs': 'GŘ NEAR – Předvstupní pomoc Albánii', 'pl': 'DG NEAR – Pomoc przedakcesyjna dla Albanii', 'da': 'GD NEAR — Førtiltrædelsesbistand til Albanien', 'ro': 'DG NEAR – Asistență de preaderare pentru Albania', 'nl': 'DG NEAR — Pretoetredingssteun aan Albanië'}","{'resource': 'http://publications.europa.eu/resource/authority/corporate-body/NEAR', 'name': 'Directorate-General for Neighbourhood and Enlargement Negotiations', 'type': 'Organization'}",2015
"{'de': 'Geografische Verteilung der Kunden von IDELUX Finances', 'fi': 'IDELUX-rahoitusasiakkaiden maantieteellinen jakautuminen', 'pt': 'Distribuição geográfica dos clientes financeiros da IDELUX', 'bg': 'Географско разпределение на клиентите на IDELUX Finance', 'lt': 'IDELUX Finansų klientų geografinis pasiskirstymas', 'hr': 'Geografska raspodjela klijenata IDELUX financija', 'lv': 'IDELUX Finance klientu ģeogrāfiskais sadalījums', 'fr': ""Répartition géographique des clients d'IDELUX Finances"", 'hu': 'IDELUX Pénzügyi ügyfelek földrajzi eloszlása', 'uk': 'Географічний розподіл клієнтів IDELUX Finance', 'sk': 'Geografická distribúcia klientov IDELUX Finance', 'sl': 'Geografska porazdelitev strank IDELUX Finance', 'ga': 'Dáileadh geografach na gcliant airgeadais IDELUX', 'sv': 'Geografisk fördelning av IDELUX Finanskunder', 'mt': 'Distribuzzjoni ġeografika tal-klijenti finanzjarji IDELUX', 'el': 'Γεωγραφική κατανομή των πελατών της IDELUX Finance', 'en': 'Geographical distribution of IDELUX Finance clients', 'it': 'Distribuzione geografica dei clienti IDELUX Finance', 'es': 'Distribución geográfica de los clientes de IDELUX Finance', 'et': 'IDELUXi finantsklientide geograafiline jaotus', 'cs': 'Geografické rozložení klientů IDELUX Finance', 'pl': 'Dystrybucja geograficzna klientów IDELUX Finance', 'ro': 'Distribuția geografică a clienților IDELUX Finance', 'da': 'Geografisk fordeling af IDELUX Finanskunder', 'nl': 'Geografische spreiding van de klanten van IDELUX Finances'}",,2023
"{'de': 'HE Finance Plus (1994/95 bis 2016/17)', 'fi': 'HE Finance Plus (1994/95–2016/17)', 'pt': 'HE Finance Plus (1994/95 a 2016/17)', 'bg': 'He Finance Plus (1994/95—2016/17)', 'lt': 'HE Finance Plus (1994/95–2016/17)', 'lv': 'HE Finance Plus (no 1994./1995. gada līdz 2016./17. gadam)', 'hr': 'Visoko obrazovanje Financije Plus (1994./95.–2016./17.)', 'fr': 'HE Finance Plus (1994/95 à 2016/17)', 'hu': 'HE Finance Plus (1994/95-től 2016/17-ig)', 'uk': 'Він Фінанс Плюс (1994/95 до 2016/17)', 'sk': 'HE Finance Plus (1994/95 až 2016/17)', 'sl': 'HE Finance Plus (1994/95 do 2016/17)', 'ga': 'HE Finance Plus (1994/95 go 2016/17)', 'sv': 'HE Finance Plus (1994/95 till 2016/17)', 'mt': 'HE Finance Plus (1994/95 sa 2016/17)', 'el': 'He Finance Plus (1994/95 έως 2016/17)', 'en': 'HE Finance Plus (1994/95 to 2016/17)', 'it': 'HE Finance Plus (dal 1994/95 al 2016/17)', 'es': 'HE Finance Plus (1994/95 a 2016/17)', 'et': 'Programmi „Euroopa horisont“ eelarve täiendamine (1994/95–2016/17)', 'cs': 'Program HE Finance Plus (1994/95 až 2016/17)', 'pl': 'HE Finance Plus (1994/95 do 2016/17)', 'ro': 'HE Finance Plus (1994/95 până în 2016/17)', 'da': 'HE Finance Plus (1994/95 til 2016/17)', 'nl': 'HE Finance Plus (1994/95 tot en met 2016/17)'}","{'name': 'Higher Education Statistics Agency', 'type': 'Agent'}",
"{'de': 'Haushalt - Gemeinde Colloredo di Monte Albano 2010/2015 - AUSGABEN', 'fi': 'Talousarvio – Colloredo di Monte Albanon kunta 2010/2015 – MENOT', 'pt': 'Orçamento - Município de Colloredo di Monte Albano 2010/2015 - DESPESAS', 'bg': 'Бюджет — Община Colloredo di Monte Albano 2010/2015 — РАЗХОДИ', 'lt': 'Biudžetas. Koloredo di Monte Albano savivaldybė 2010–2015 m. IŠLAIDOS', 'hr': 'Proračun – Općina Colloredo di Monte Albano 2010./2015. – ISKUSTVA', 'lv': 'Budžets - Colloredo di Monte Albano pašvaldība 2010/2015 - IZDEVUMI', 'fr': 'Budget - Municipalité de Colloredo di Monte Albano 2010/2015 - DÉPENSES', 'hu': 'Költségvetés – Colloredo di Monte Albano önkormányzata 2010/2015 – KIADÁSOK', 'uk': 'Бюджет — Муніципалітет Колоредо-ді-Монте Альбано 2010/2015 — ЕКСПЕНДІТУРА', 'sk': 'Rozpočet – obec Colloredo di Monte Albano 2010/2015 – VÝDAVKY', 'sl': 'Proračun - Občina Colloredo di Monte Albano 2010/2015 - IZDATKI', 'ga': 'Buiséad - Bardas Colloredo di Monte Albano 2010/2015 - SONRAÍ', 'sv': 'Budget – kommunen Colloredo di Monte Albano 2010/2015 – UTGIFTER', 'el': 'Προϋπολογισμός — Δήμος Κολορέντο ντι Μόντε Αλμπάνο 2010/2015 — ΔΑΠΑΝΕΣ', 'mt': ""Baġit - Il-Muniċipalità ta' Colloredo di Monte Albano 2010/2015 - NEFQA"", 'en': 'Budget - Municipality of Colloredo di Monte Albano 2010/2015 - EXPENDITURE', 'it': 'Bilancio - Comune di Colloredo di Monte Albano 2010/2015 - SPESE', 'es': 'Presupuesto - Municipio de Colloredo di Monte Albano 2010/2015 - GASTOS', 'et': 'Eelarve – Colloredo di Monte Albano omavalitsus 2010/2015 – KULUD', 'cs': 'Rozpočet – obec Colloredo di Monte Albano 2010/2015 – VÝDAJE', 'pl': 'Budżet - Gmina Colloredo di Monte Albano 2010/2015 - WYDATKI', 'da': 'Budget – Colloredo di Monte Albano kommune 2010/2015 – UDGIFTER', 'ro': 'Buget - Municipalitatea Colloredo di Monte Albano 2010/2015 - CHELTUIELI', 'nl': 'Begroting - Gemeente Colloredo di Monte Albano 2010/2015 - UITGAVEN'}","{'name': 'Regione Friuli Venezia-Giulia', 'type': 'Agent'}",2024
"{'de': 'Bestellungen über 20k.', 'fi': 'Ostotilaukset yli 20k.', 'pt': 'Encomendas superiores a 20k.', 'bg': 'Поръчки за покупка над 20к.', 'lt': 'Pirkimo užsakymai virš 20k.', 'lv': 'Pirkuma pasūtījumi virs 20k.', 'hr': 'Narudžbe za kupnju iznad 20k.', 'fr': 'Bons de commande de plus de 20k.', 'hu': 'Megrendelések több mint 20k.', 'uk': 'Замовлення на покупку понад 20k.', 'sk': 'Objednávky nad 20k.', 'sl': 'Naročila nad 20k.', 'ga': 'Purchase Orders Over 20k', 'sv': 'Inköpsorder över 20k.', 'el': 'Παραγγελίες άνω των 20k.', 'mt': ""Ordnijiet ta' Xiri 'l fuq minn 20k."", 'en': 'Purchase Orders over 20k.', 'it': 'Ordini di acquisto superiori a 20k.', 'es': 'Órdenes de compra superiores a 20k.', 'et': 'Ostutellimused üle 20k.', 'cs': 'Objednávky nad 20k.', 'pl': 'Zamówienia powyżej 20k.', 'da': 'Købsordrer over 20k.', 'ro': 'Comenzi de cumpărare de peste 20k.', 'nl': 'Inkooporders van meer dan 20k.'}","{'resource': 'https://data.gov.ie/organization/60eeb83f-bd27-492c-ad8c-59b93b600edc', 'name': 'Kildare County Council ', 'type': 'Organization'}",2023
"{'de': 'Europäische Kommission – GD INTPA – Entwicklungshilfe für Albanien', 'fi': 'Euroopan komissio – INTPA-pääosasto – kehitysapu Albanialle', 'pt': 'Comissão Europeia — DG INTPA — Ajuda ao desenvolvimento à Albânia', 'bg': 'Европейска комисия — ГД INTPA — помощ за развитие на Албания', 'lt': 'Europos Komisija. INTPA GD. Parama vystymuisi Albanijai', 'hr': 'Europska komisija – DG INTPA – razvojna pomoć Albaniji', 'lv': 'Eiropas Komisija — INTPA ĢD — attīstības palīdzība Albānijai', 'fr': 'Commission européenne — DG INTPA — Aide au développement en faveur de l’Albanie', 'hu': 'Európai Bizottság – DG INTPA – fejlesztési támogatás Albániának', 'sk': 'Európska komisia – GR INTPA – Rozvojová pomoc Albánsku', 'sl': 'Evropska komisija – GD INTPA – razvojna pomoč Albaniji', 'ga': 'An Coimisiún Eorpach — AS INTPA — cúnamh forbartha don Albáin', 'sv': 'Europeiska kommissionen – GD INTPA – Utvecklingsbistånd till Albanien', 'el': 'Ευρωπαϊκή Επιτροπή — ΓΔ INTPA — αναπτυξιακή βοήθεια προς την Αλβανία', 'mt': 'Il-Kummissjoni Ewropea — DĠ INTPA — Għajnuna għall-iżvilupp lill-Albanija', 'en': 'European Commission - DG INTPA - development assistance to Albania', 'it': ""Commissione europea — DG INTPA — Assistenza allo sviluppo all'Albania"", 'es': 'Comisión Europea — DG INTPA — Ayuda al desarrollo a Albania', 'et': 'Euroopa Komisjon – INTPA peadirektoraat – arenguabi Albaaniale', 'cs': 'Evropská komise – GŘ INTPA – rozvojová pomoc Albánii', 'pl': 'Komisja Europejska – DG INTPA – pomoc rozwojowa dla Albanii', 'da': 'Europa-Kommissionen — GD INTPA — udviklingsbistand til Albanien', 'ro': 'Comisia Europeană – DG INTPA – asistență pentru dezvoltare acordată Albaniei', 'nl': 'Europese Commissie — DG INTPA — Ontwikkelingshulp aan Albanië'}","{'resource': 'http://publications.europa.eu/resource/authority/corporate-body/INTPA', 'name': 'Directorate-General for International Partnerships', 'type': 'Organization', 'homepage': 'https://commission.europa.eu/about/departments-and-executive-agencies/international-partnerships'}",2014
"{'de': 'Sofortige Zahlungsberichte', 'fi': 'Nopeat maksuraportit', 'pt': 'Relatórios de pagamento imediatos', 'bg': 'Доклади за бързи плащания', 'lt': 'Greito mokėjimo ataskaitos', 'lv': 'Ātri maksājumu pārskati', 'hr': 'Brza izvješća o plaćanju', 'fr': 'Rapports de paiement rapide', 'hu': 'Azonnali fizetési jelentések', 'uk': 'Оперативні звіти про оплату', 'sk': 'Rýchle platobné správy', 'sl': 'Poročila o takojšnjem plačilu', 'ga': 'Prompt Payment Reports', 'sv': 'Rapporter om snabba betalningar', 'el': 'Αναφορές έγκαιρης πληρωμής', 'mt': 'Rapporti ta’ Pagament fil-Qosor', 'en': 'Prompt Payment Reports', 'it': 'Rapporti di pagamento tempestivi', 'es': 'Informes de Pago Rápido', 'et': 'Viivitamatud maksearuanded', 'cs': 'Rychlé zprávy o platbách', 'pl': 'Szybkie raporty płatności', 'da': 'Hurtige betalingsrapporter', 'ro': 'Rapoarte de plată prompte', 'nl': 'Snelle betalingsrapporten'}","{'resource': 'https://data.gov.ie/organization/60eeb83f-bd27-492c-ad8c-59b93b600edc', 'name': 'Kildare County Council ', 'type': 'Organization'}",2023
"{'de': 'Prüfbericht', 'fi': 'Tarkastuskertomus', 'pt': 'Relatório de auditoria', 'bg': 'Одитен доклад', 'lt': 'Audito ataskaita', 'hr': 'Izvješće o reviziji', 'lv': 'Revīzijas ziņojums', 'fr': ""Rapport d'audit"", 'hu': 'Ellenőrzési jelentés', 'uk': 'Звіт про аудит', 'sk': 'Audítorská správa', 'sl': 'Revizijsko poročilo', 'ga': 'Audit Report', 'sv': 'Revisionsrapport', 'mt': 'Rapport tal-Awditjar', 'el': 'Έκθεση ελέγχου', 'en': 'Audit Report', 'it': 'Relazione di audit', 'es': 'Informe de auditoría', 'et': 'Auditiaruanne', 'cs': 'Zpráva o auditu', 'pl': 'Sprawozdanie z audytu', 'da': 'Revisionsrapport', 'ro': 'Raportul de audit', 'nl': 'Auditverslag'}","{'resource': 'https://data.gov.ie/organization/60eeb83f-bd27-492c-ad8c-59b93b600edc', 'name': 'Kildare County Council ', 'type': 'Agent'}",2023
"{'de': 'Haushalt - Gemeinde Colloredo di Monte Albano 2010/2015 - EINNAHMEN', 'fi': 'Talousarvio – Colloredo di Monte Albanon kunta 2010/2015 – TULOKSET', 'pt': 'Orçamento - Município de Colloredo di Monte Albano 2010/2015 - RECEITAS', 'bg': 'Бюджет — Община Colloredo di Monte Albano 2010/2015 — REVENUE', 'lt': 'Biudžetas - Colloredo di Monte Albano savivaldybė 2010/2015 - PAJAMOS', 'hr': 'Proračun – Općina Colloredo di Monte Albano 2010./2015. – PRIHOD', 'lv': 'Budžets - Colloredo di Monte Albano pašvaldība 2010/2015 - IEŅĒMUMI', 'fr': 'Budget - Municipalité de Colloredo di Monte Albano 2010/2015 - RECETTES', 'hu': 'Költségvetés – Colloredo di Monte Albano önkormányzata 2010/2015 – BEVÉTELEK', 'uk': 'Бюджет — муніципалітет Колоредо-ді-Монте Альбано 2010/2015 — REVENUE', 'sk': 'Rozpočet – obec Colloredo di Monte Albano 2010/2015 – PRÍJMY', 'sl': 'Proračun - Občina Colloredo di Monte Albano 2010/2015 - PRIHODKI', 'ga': 'Buiséad - Bardas Colloredo di Monte Albano 2010/2015 - ATHBHREITHNIÚ', 'sv': 'Budget - Colloredo di Monte Albano kommun 2010/2015 - INKOMSTER', 'el': 'Προϋπολογισμός — Δήμος Colloredo di Monte Albano 2010/2015 — REVENUE', 'mt': ""Baġit - Il-Muniċipalità ta' Colloredo di Monte Albano 2010/2015 - REVENUE"", 'en': 'Budget - Municipality of Colloredo di Monte Albano 2010/2015 - REVENUE', 'it': 'Bilancio - Comune di Colloredo di Monte Albano 2010/2015 - ENTRATE', 'es': 'Presupuesto - Municipio de Colloredo di Monte Albano 2010/2015 - INGRESOS', 'et': 'Eelarve – Colloredo di Monte Albano omavalitsus 2010/2015 – TULUD', 'cs': 'Rozpočet – obec Colloredo di Monte Albano 2010/2015 – PŘÍJMY', 'pl': 'Budżet - Gmina Colloredo di Monte Albano 2010/2015 - DOCHODY', 'ro': 'Buget - Municipalitatea Colloredo di Monte Albano 2010/2015 - VENITURI', 'da': 'Budget – Colloredo di Monte Albano kommune 2010/2015 – REVENUE', 'nl': 'Begroting - Gemeente Colloredo di Monte Albano 2010/2015 - REVENUE'}","{'name': 'Regione Friuli Venezia-Giulia', 'type': 'Agent'}",2024
"{'de': 'Finanzen Publikationen Jahresabschluss', 'fi': 'Rahoitus Julkaisut Vuositilinpäätös', 'pt': 'Finanças Publicações Demonstrações Financeiras Anuais', 'bg': 'Финансови публикации Годишни финансови отчети', 'lt': 'Finansai Publikacijos Metinės finansinės ataskaitos', 'hr': 'Financije Publikacije Godišnji financijski izvještaji', 'lv': 'Finanses Publikācijas Gada finanšu pārskati', 'fr': 'Finances Publications États financiers annuels', 'hu': 'Pénzügyi kiadványok Éves pénzügyi kimutatások', 'uk': 'Фінанси Публікації Річна фінансова звітність', 'sk': 'Financie Publikácie Ročné finančné výkazy', 'sl': 'Finance Publikacije Letni računovodski izkazi', 'ga': 'Finance Publications Annual Financial Statements', 'sv': 'Finans Publikationer Årsbokslut', 'mt': 'Pubblikazzjonijiet Finanzjarji Dikjarazzjonijiet Finanzjarji Annwali', 'el': 'Δημοσιεύσεις Οικονομικών Ετήσιες Οικονομικές Καταστάσεις', 'en': 'Finance Publications Annual Financial Statements', 'it': 'Finanza Pubblicazioni Bilanci annuali', 'es': 'Publicaciones financieras Estados financieros anuales', 'et': 'Finantsväljaanded Aasta finantsaruanded', 'cs': 'Finanční publikace Roční účetní závěrka', 'pl': 'Finanse Publikacje Roczne sprawozdania finansowe', 'da': 'Finansielle publikationer Årsregnskaber', 'ro': 'Finanțe Publicații Situații financiare anuale', 'nl': 'Financieringspublicaties Jaarrekening'}","{'resource': 'https://data.gov.ie/organization/60eeb83f-bd27-492c-ad8c-59b93b600edc', 'name': 'Kildare County Council ', 'type': 'Agent'}",2023
