year,gdp_per_capita
2024,11377.7757431099
2023,9730.86921906893
2022,7756.96188744253
2021,7242.45513146613
2020,6027.91350716348
2019,6069.43903131027
2018,5897.65452588774
2017,5006.36012951959
2016,4457.63412207495
2015,4199.53912925398
2014,4793.59751131525
2013,4542.92903556739
2012,4280.93316338873
2011,4465.70914328865
2010,4149.14469936847
2009,4213.65007574693
2008,4498.50486763601
2007,3743.05529896187
2006,3057.77257038113
2005,2741.72136549578
2004,2446.90949947798
2003,1908.69900687608
2002,1479.83884572006
2001,1326.41652388077
2000,1160.42047054038
1999,1056.34481153033
1998,831.175344077295
1997,728.545523729675
1996,1020.97618050188
1995,911.320465445326
1994,586.416135130865
1993,367.279225077581
1992,200.852219772323
1991,336.586994504629
1990,617.230435515505
1989,697.995596576519
1988,652.774321396566
1987,674.793383069492
1986,693.873474633887
1985,639.865903755552
1984,639.484730161417
1983,661.546782448624
1982,668.454504242454
1981,663.2942082544
1980,590.607738430529
